  0.4123982E+00  0.6448370E+00  0.2051020E+01  0.9850482E+00
 -0.1276214E+01  0.2312903E+01  0.4377551E+01  0.9668697E+00
 -0.1253056E+01  0.2328074E+01  0.3214286E+01  0.9777277E+00
 -0.2062750E+00  0.1227770E+01  0.2438776E+01  0.9786842E+00
 -0.2260497E+00  0.1314243E+01  0.2438776E+01  0.9666809E+00
 -0.7942784E+00  0.1806941E+01  0.2826531E+01  0.9739947E+00
 -0.8785763E+00  0.2037513E+01  0.3214286E+01  0.9812811E+00
  0.2152866E+00  0.7908291E+00  0.2051020E+01  0.9794901E+00
 -0.4786645E+00  0.1536612E+01  0.2632653E+01  0.9692847E+00
 -0.7046809E+00  0.1808315E+01  0.2826531E+01  0.9733050E+00
 -0.1887659E+01  0.2904235E+01  0.5346939E+01  0.9837434E+00
 -0.1043603E+01  0.2101763E+01  0.3214286E+01  0.9795511E+00
 -0.4988979E+00  0.1533897E+01  0.2632653E+01  0.9701083E+00
 -0.6385025E+00  0.1806834E+01  0.2826531E+01  0.9743961E+00
 -0.2335850E+00  0.1365332E+01  0.2826531E+01  0.9863452E+00
 -0.6158977E+00  0.1486554E+01  0.2438776E+01  0.9202985E+00
 -0.3826734E+00  0.1423437E+01  0.2632653E+01  0.9843849E+00
 -0.2945439E+00  0.1325711E+01  0.2438776E+01  0.9696515E+00
 -0.1508589E+00  0.1208270E+01  0.2438776E+01  0.9768512E+00
 -0.1214767E+01  0.2253006E+01  0.3214286E+01  0.9624066E+00
  0.1738358E-01  0.9753816E+00  0.2244898E+01  0.9790277E+00
 -0.4861413E+00  0.1564681E+01  0.2632653E+01  0.9692203E+00
 -0.1330807E+00  0.1161274E+01  0.2438776E+01  0.9737532E+00
 -0.3584208E+00  0.1322261E+01  0.2438776E+01  0.9592642E+00
 -0.2132926E+01  0.3239011E+01  0.5928572E+01  0.9887307E+00
 -0.8796132E+00  0.1923427E+01  0.3214286E+01  0.9873312E+00
 -0.1500006E+01  0.2741476E+01  0.3795918E+01  0.9861298E+00
 -0.6743526E-01  0.1066728E+01  0.2438776E+01  0.9895001E+00
 -0.9167629E+00  0.1971376E+01  0.2826531E+01  0.9557434E+00
 -0.1076979E+01  0.2094905E+01  0.3020408E+01  0.9672170E+00
