          0.500          1.000          2.500          5.000         10.000         20.000         30.000         40.000         50.000         60.000         70.000         80.000         90.000         95.000         97.500         99.000         99.500
  0.6984125E+00  0.7186484E+00  0.7536333E+00  0.7900792E+00  0.8417836E+00  0.9237072E+00  0.1001438E+01  0.1085315E+01  0.1183404E+01  0.1307114E+01  0.1478368E+01  0.1752247E+01  0.2344167E+01  0.3156344E+01  0.4283898E+01  0.6486911E+01  0.8939766E+01
  0.3040750E+00  0.3555099E+00  0.4403381E+00  0.5239241E+00  0.6354582E+00  0.7984370E+00  0.9406620E+00  0.1083343E+01  0.1238675E+01  0.1420277E+01  0.1650872E+01  0.1981895E+01  0.2591150E+01  0.3282358E+01  0.4080223E+01  0.5338877E+01  0.6478257E+01
  0.1327722E+00  0.1945610E+00  0.2980075E+00  0.4017663E+00  0.5429486E+00  0.7546407E+00  0.9443787E+00  0.1139205E+01  0.1356206E+01  0.1616114E+01  0.1955353E+01  0.2459383E+01  0.3435644E+01  0.4612527E+01  0.6053432E+01  0.8486534E+01  0.1083995E+02
  0.4134375E+00  0.4501101E+00  0.5126221E+00  0.5766696E+00  0.6658798E+00  0.8038430E+00  0.9315120E+00  0.1066305E+01  0.1220598E+01  0.1410828E+01  0.1667443E+01  0.2064765E+01  0.2883025E+01  0.3943707E+01  0.5337166E+01  0.7890404E+01  0.1056308E+02
  0.4373097E+00  0.4765651E+00  0.5434799E+00  0.6120383E+00  0.7075318E+00  0.8552117E+00  0.9918727E+00  0.1136159E+01  0.1301319E+01  0.1504947E+01  0.1779635E+01  0.2204942E+01  0.3080832E+01  0.4216220E+01  0.5707821E+01  0.8440885E+01  0.1130180E+02
  0.2074517E+00  0.2583954E+00  0.3443499E+00  0.4313579E+00  0.5509480E+00  0.7326704E+00  0.8978077E+00  0.1069422E+01  0.1262836E+01  0.1497403E+01  0.1807951E+01  0.2277633E+01  0.3211724E+01  0.4373600E+01  0.5840049E+01  0.8405001E+01  0.1097208E+02
  0.3342906E+00  0.3883678E+00  0.4789033E+00  0.5697124E+00  0.6932740E+00  0.8785455E+00  0.1044603E+01  0.1215114E+01  0.1405031E+01  0.1632501E+01  0.1929400E+01  0.2370524E+01  0.3224940E+01  0.4254940E+01  0.5516010E+01  0.7645443E+01  0.9705138E+01
  0.5660549E+00  0.5908723E+00  0.6337777E+00  0.6784751E+00  0.7418855E+00  0.8423567E+00  0.9376854E+00  0.1040552E+01  0.1160849E+01  0.1312568E+01  0.1522593E+01  0.1858479E+01  0.2584411E+01  0.3580466E+01  0.4963300E+01  0.7665078E+01  0.1067326E+02
  0.3369858E+00  0.3816032E+00  0.4572414E+00  0.5342363E+00  0.6407176E+00  0.8038433E+00  0.9533333E+00  0.1109830E+01  0.1287478E+01  0.1504576E+01  0.1794502E+01  0.2237782E+01  0.3133729E+01  0.4269669E+01  0.5730239E+01  0.8340470E+01  0.1100778E+02
  0.2978112E+00  0.3487936E+00  0.4348135E+00  0.5218877E+00  0.6415688E+00  0.8234293E+00  0.9886923E+00  0.1160437E+01  0.1353998E+01  0.1588744E+01  0.1899528E+01  0.2369567E+01  0.3304369E+01  0.4467129E+01  0.5934693E+01  0.8501596E+01  0.1107062E+02
