  0.9127796E-01 -0.1723857E+00  0.1862890E+00 -0.2290692E+00  0.2429725E+00 -0.3510713E+00  0.3649746E+00 -0.2171487E+00  0.2310520E+00
  0.9100399E-01 -0.1718871E+00  0.1857111E+00 -0.2284004E+00  0.2422244E+00 -0.3500363E+00  0.3638603E+00 -0.2165157E+00  0.2303398E+00
  0.9073029E-01 -0.1713890E+00  0.1851337E+00 -0.2277324E+00  0.2414771E+00 -0.3490024E+00  0.3627472E+00 -0.2158834E+00  0.2296282E+00
  0.9045688E-01 -0.1708914E+00  0.1845569E+00 -0.2270650E+00  0.2407305E+00 -0.3479696E+00  0.3616351E+00 -0.2152518E+00  0.2289173E+00
  0.9018376E-01 -0.1703944E+00  0.1839807E+00 -0.2263984E+00  0.2399846E+00 -0.3469380E+00  0.3605242E+00 -0.2146208E+00  0.2282071E+00
  0.8991091E-01 -0.1698980E+00  0.1834050E+00 -0.2257325E+00  0.2392395E+00 -0.3459074E+00  0.3594144E+00 -0.2139906E+00  0.2274976E+00
  0.8963836E-01 -0.1694021E+00  0.1828298E+00 -0.2250674E+00  0.2384951E+00 -0.3448780E+00  0.3583057E+00 -0.2133611E+00  0.2267888E+00
  0.8936609E-01 -0.1689068E+00  0.1822553E+00 -0.2244030E+00  0.2377515E+00 -0.3438497E+00  0.3571982E+00 -0.2127323E+00  0.2260807E+00
  0.8909412E-01 -0.1684121E+00  0.1816813E+00 -0.2237394E+00  0.2370086E+00 -0.3428226E+00  0.3560918E+00 -0.2121042E+00  0.2253734E+00
  0.8882245E-01 -0.1679180E+00  0.1811079E+00 -0.2230766E+00  0.2362665E+00 -0.3417966E+00  0.3549866E+00 -0.2114768E+00  0.2246667E+00
  0.8855108E-01 -0.1674244E+00  0.1805351E+00 -0.2224145E+00  0.2355252E+00 -0.3407718E+00  0.3538825E+00 -0.2108502E+00  0.2239608E+00
  0.8828000E-01 -0.1669315E+00  0.1799629E+00 -0.2217532E+00  0.2347846E+00 -0.3397482E+00  0.3527796E+00 -0.2102243E+00  0.2232557E+00
  0.8800923E-01 -0.1664391E+00  0.1793913E+00 -0.2210927E+00  0.2340449E+00 -0.3387258E+00  0.3516780E+00 -0.2095991E+00  0.2225513E+00
  0.8773877E-01 -0.1659473E+00  0.1788202E+00 -0.2204330E+00  0.2333059E+00 -0.3377046E+00  0.3505775E+00 -0.2089747E+00  0.2218476E+00
  0.8746862E-01 -0.1654562E+00  0.1782498E+00 -0.2197741E+00  0.2325677E+00 -0.3366846E+00  0.3494782E+00 -0.2083511E+00  0.2211447E+00
  0.8719878E-01 -0.1649657E+00  0.1776800E+00 -0.2191160E+00  0.2318304E+00 -0.3356658E+00  0.3483802E+00 -0.2077282E+00  0.2204426E+00
  0.8692926E-01 -0.1644757E+00  0.1771109E+00 -0.2184587E+00  0.2310938E+00 -0.3346483E+00  0.3472834E+00 -0.2071062E+00  0.2197413E+00
  0.8666006E-01 -0.1639865E+00  0.1765423E+00 -0.2178022E+00  0.2303581E+00 -0.3336320E+00  0.3461879E+00 -0.2064849E+00  0.2190407E+00
  0.8639118E-01 -0.1634978E+00  0.1759744E+00 -0.2171466E+00  0.2296232E+00 -0.3326170E+00  0.3450936E+00 -0.2058643E+00  0.2183409E+00
  0.8612262E-01 -0.1630098E+00  0.1754071E+00 -0.2164918E+00  0.2288892E+00 -0.3316033E+00  0.3440006E+00 -0.2052446E+00  0.2176420E+00
  0.8585439E-01 -0.1625224E+00  0.1748405E+00 -0.2158379E+00  0.2281560E+00 -0.3305908E+00  0.3429089E+00 -0.2046257E+00  0.2169438E+00
  0.8558650E-01 -0.1620357E+00  0.1742745E+00 -0.2151848E+00  0.2274236E+00 -0.3295797E+00  0.3418185E+00 -0.2040076E+00  0.2162465E+00
  0.8531893E-01 -0.1615497E+00  0.1737092E+00 -0.2145326E+00  0.2266922E+00 -0.3285698E+00  0.3407294E+00 -0.2033903E+00  0.2155499E+00
  0.8505171E-01 -0.1610643E+00  0.1731446E+00 -0.2138812E+00  0.2259616E+00 -0.3275613E+00  0.3396416E+00 -0.2027739E+00  0.2148542E+00
  0.8478482E-01 -0.1605795E+00  0.1725806E+00 -0.2132308E+00  0.2252318E+00 -0.3265541E+00  0.3385552E+00 -0.2021583E+00  0.2141593E+00
  0.8451828E-01 -0.1600955E+00  0.1720173E+00 -0.2125812E+00  0.2245030E+00 -0.3255483E+00  0.3374701E+00 -0.2015435E+00  0.2134653E+00
  0.8425209E-01 -0.1596121E+00  0.1714546E+00 -0.2119325E+00  0.2237751E+00 -0.3245438E+00  0.3363864E+00 -0.2009296E+00  0.2127721E+00
  0.8398624E-01 -0.1591294E+00  0.1708927E+00 -0.2112848E+00  0.2230480E+00 -0.3235407E+00  0.3353040E+00 -0.2003166E+00  0.2120798E+00
  0.8372075E-01 -0.1586474E+00  0.1703314E+00 -0.2106379E+00  0.2223219E+00 -0.3225390E+00  0.3342230E+00 -0.1997044E+00  0.2113884E+00
  0.8345562E-01 -0.1581661E+00  0.1697709E+00 -0.2099920E+00  0.2215967E+00 -0.3215387E+00  0.3331435E+00 -0.1990931E+00  0.2106978E+00
  0.8319085E-01 -0.1576856E+00  0.1692110E+00 -0.2093470E+00  0.2208724E+00 -0.3205398E+00  0.3320653E+00 -0.1984826E+00  0.2100081E+00
  0.8292644E-01 -0.1572057E+00  0.1686519E+00 -0.2087029E+00  0.2201491E+00 -0.3195423E+00  0.3309886E+00 -0.1978731E+00  0.2093193E+00
  0.8266240E-01 -0.1567265E+00  0.1680935E+00 -0.2080598E+00  0.2194268E+00 -0.3185463E+00  0.3299133E+00 -0.1972645E+00  0.2086314E+00
  0.8239872E-01 -0.1562481E+00  0.1675358E+00 -0.2074176E+00  0.2187053E+00 -0.3175517E+00  0.3288394E+00 -0.1966567E+00  0.2079445E+00
  0.8213543E-01 -0.1557705E+00  0.1669789E+00 -0.2067764E+00  0.2179849E+00 -0.3165586E+00  0.3277671E+00 -0.1960499E+00  0.2072584E+00
  0.8187251E-01 -0.1552935E+00  0.1664227E+00 -0.2061362E+00  0.2172654E+00 -0.3155670E+00  0.3266962E+00 -0.1954441E+00  0.2065733E+00
  0.8160997E-01 -0.1548173E+00  0.1658673E+00 -0.2054970E+00  0.2165469E+00 -0.3145769E+00  0.3256268E+00 -0.1948391E+00  0.2058891E+00
  0.8134782E-01 -0.1543419E+00  0.1653126E+00 -0.2048588E+00  0.2158295E+00 -0.3135882E+00  0.3245589E+00 -0.1942352E+00  0.2052058E+00
  0.8108606E-01 -0.1538672E+00  0.1647587E+00 -0.2042216E+00  0.2151130E+00 -0.3126012E+00  0.3234926E+00 -0.1936321E+00  0.2045235E+00
  0.8082469E-01 -0.1533933E+00  0.1642055E+00 -0.2035854E+00  0.2143975E+00 -0.3116156E+00  0.3224278E+00 -0.1930301E+00  0.2038422E+00
  0.8056372E-01 -0.1529202E+00  0.1636531E+00 -0.2029502E+00  0.2136831E+00 -0.3106316E+00  0.3213645E+00 -0.1924290E+00  0.2031619E+00
  0.8030315E-01 -0.1524479E+00  0.1631015E+00 -0.2023161E+00  0.2129697E+00 -0.3096492E+00  0.3203028E+00 -0.1918288E+00  0.2024825E+00
  0.8004298E-01 -0.1519764E+00  0.1625508E+00 -0.2016830E+00  0.2122573E+00 -0.3086684E+00  0.3192427E+00 -0.1912297E+00  0.2018041E+00
