  0.5855906E+02   0.5692470D+02   0.6019343D+02                    MODIFIED MANDEL-PAULE
  0.5856632E+02   0.5693617D+02   0.6019648D+02                    MANDEL-PAULE
  0.5870405E+02   0.5706718D+02   0.6034091D+02                    MAXIMUM LIKELIHOOD
  0.5859555E+02   0.5604615D+02   0.6114495D+02                    T: LAB MEANS
  0.5859555E+02   0.5575822D+02   0.6143289D+02                    BOB
  0.5859083E+02   0.5567410D+02   0.6150755D+02                    SCHILLER-EBERHARDT
  0.5867329E+02  -0.9990000D+03  -0.9990000D+03                    GRAYBILL-DEAL
  0.5722609E+02   0.5680219D+02   0.5764998D+02                    T: ALL DATA
